NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,Date Low,Date High,Date Decision,Text,Translation,Subject,Dedicator,Reason,Subject Status,Language,Church?,Notes1,Notes2,Notes3,Citation1,Citation2
Dedication of a Statue Base to a High official,,Rome,"The Aventine, 20 m east of the Via di S. Sabina, and near remains of the house in which it orignally stood. ",Base of statue of Iunius Quartus Palladius,Rome,"The Aventine, 20 m east of the Via di S. Sabina, and near remains of the house in which it orignally stood. 
",Base of statue of Iunius Quartus Palladius,41.883333,12.483333,Found in Rome in 1926,Wikipedia,75%,421 or later,421,421,421,"Iunii Quarti Palladii, viri clarissimi. Amplissimorum honorum magnitudine et nobilitate conspicuo, Iunio Quarto Palladio, clarissimo et inustri viro, avorum honores supergresso et diu in republica preservanti, praetori et quaestori kandidato, notario et tribuno, comiti sacrarum largitionum, praefecto praetorii per annos sex Illyrici, Italiae, et Africae consuli ordinario, legato senatus amplissimi quarto eius statuam, ob egregiam propinquitatus affectionem, ad decorem domus, germanus eius inter se ac suos locari constituique ius habuit.","Statue of Iunius Quartus Palladius. To one notable for the greatness and renown of his magnificent public offices, Iunius Quartus Palladius, and inlustris, who has surpassed his ancestors in repsect to pulic career and was untiring in civic affairs, praetor and quaestor as a nominee, notary and tribune, head of the Imperial treasury, praetorian prefect, for six years, of Illyricum, Italy, and Africa, consul ordinary, envoy of the most distinguished senate four times, a statue of him, because of strong affection arising from kinship and for the adornment of the house, his brother has considered it proper to be placed and set up among himself and his family. ",Iunius Quartus Palladius,Brother,"Ornament to house, token of affection to his brother, praef. praet.",Praefect Praetor,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Epitaph of a Christian Boy,,Rome,Suburban Christian Catacomb,,Rome,Vatican,Lapidario Cristiano ex Lateranese,41.904722,12.454444,Discovered in storeroom in Vatican Library in 1949,Wikipedia,25%,471,471,471,471,"Calumnios in pace; vixit annis VI, mensibus VIII diebus XXII depositus IIII Nonas Septembres, probiano consule","Calumniosus in peace, he lived 6 years, 8 mos, 22 days; buried Sept. 2, in the consulship of Probianus. ",Calumnios,Parents,Epitaph,Christian Boy,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
"Epitaph of Maxima, ""Handmaid of Christ""",,Rome,outside Porta Maggiore,,Rome,Museum Nazionale,Galleria XXXVIII,41.891512,12.515144,Found in 1909,wikipedia,100%,525,525,525,525,"✝︎ Hic requiescit in pace ancilla Christi Maxima, quae vixit annis plus minus XXV; deposita VIIII Kalendas Iulias, Flavio Probo Iuniore, viro clarissimo, consule; quae fecit cum maritum suum annis VII mensibus VI, amicabilis, fidelis in omninus, bona, prudens.","Here lies in peace a handmaid of Christ, Maxima, who lived about 25 years; buried June 23 in the consulship of Flavius Probus Iunior, she lived with her husband 7 years, 6 mos., friendly, loyal in all respects, good, prudent. ",Maxima,Husband,Epitaph,Christian,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
The Docilianus tablet,,Britannia,Uley,Temple of Mercury,United Kingdom,"Uley, Gloucestershire",,51.695677,-2.305694,found in 1978 at the temple of Mercury,pleiades,100%,340,340,340,340,"deo Mercurio, Docilinus QVAENM Varianus et Peregrinanet Sabinianus qui pecori meo dolum malum intulerunt et INT.RR. prolocuntur rogo te ut eos maximo leto adigas neceis sanitatem nec somnum perm[itt]as nisia te quod mihi administraverint redemerint","To the god Mercury (from) Docilinus . . . Varianus and Peregrina and Sabinianus who have brought evil harm on my beast and are . . . I ask you that you drive them to the greatest death, and do not allow them health or sleep unless they redeem from you what they have administered to me.",Varianus and Peregrina and Sabinanus,Docilinus,Curse Tablet (pagan),Roman Citizen,latin,no,,,,"Becoming Roman, Writing Latin?",
Uley Tablet,,Britannia,Uley,Temple of Mercury,United Kingdom,"Uley, Gloucestershire",,51.695677,-2.305694,found in 1978 at the temple of Mercury,pleiades,100%,350-380,350,380,365,Biccus dat Mercurio quidquid perdidit si vir si mascel ne meiatne cacetne loquatur ne dormiatne vigilet nec salutem nec sanitatem nessi in templo Mercurii pertulerit ne conscientiam de perferat nessin me intercedente,"Biccus gives Mercury whatever he has lost (that the thief), whether man or male (sic), may not urinate nor defecate nor speak nor sleep nor stay awake nor [have] well-being or health, unless he bring (it) in the temple of Mercury; nor gain consciousness (sic) of (it) unless with my intervention",Mercury,Biccus,Curse Tablet (pagan),Roman Citizen,Vulgar Latin,Np,,,,"Becoming Roman, Writing Latin?",
Tab. Sulis,,Britannia,Bath,Sulis Minerva Temple,United Kingdom,Bath,,51.3809,-2.3595,Excavated between 1978-1983,Wikipedia,100%,4th Century,301,400,350,Basilia donat in templum Martis anilum argenteum si servus si liber medius fuerit vel aliquid de hoc noverit ut sanguine et liminibus et omnibus membris configatur vel etiam intestinis excomesis omnibus habeat is qui anilum involavit vel qui medius fuerit. ,"Basilia gives to the temple of Mars her silver ring. If anyone is involved or knows anything about it, whether slave or free, may he be accused in his blood and eyes and every limb, or even have all his guts eaten away, if he has stolen the ring or is involved. ",Mars,Basilia,Curse Tablet (pagan),Roman Woman,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
Tab Sulis 10,,Britannia,Bath,Sulis Minerva Temple,United Kingdom,Bath,,51.3809,-2.3595,Excavated between 1978-1983,Wikipedia,100%,4th Century,301,400,350,Docilianus Bruceri deae sanctissimiae Suli devoveo eum qui caracellam! involaverit si vir si femina si servus si liber ut eum dea Sulis Maximo letum! adigat nec ei somnum permittat nec natos nec nascentes donec caracallam meam ad templum sui numinis pertuerit. ,"Docilianus son of brucetus to the most holy goddess Sulis. I devote him who has stolen my hooded cloak, whether man or woman, whether slave or free. May the goddess Sulis inflict him with the greatest death, and not allow him children now nor in the future, until he has brought my hooded cloak to the temple of her divinity. ",Sulis Minerva,Docilianus,Curse Tablet (pagan),Roman citizen,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
The Caerleon Tablet,,Britannia,Wales,Caerleon,United Kingdom,Wales,"Caerleon, Gwent, National Roman Legion Museum,",51.6081,-2.9569,found during excavations of the amphitheatre by Sir Mortimer Wheeler in 1926 and 1927.,Atlas Obscura,100%,1st-4th centuries,100,400,250,Donna Nemesis do tibi palleum et Galliculas qui tulit non redimat nisi vita sanguine sua.,"Lady Nemesis, I give thee a cloak and a pair of boots; let him who took them not redeem them unless with his life and blood.",Lady Nemesis,Roman Soldier,Curse Tablet (pagan),Roman Soldier,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
Cursed Amulet Tablet,,Tragurium,Dalmatia,,Yugoslavia,Split,,43.51,16.45,,Wikipedia,50%,6th century CE,400,500,450,"✝︎In nomine domini Ieso Christi denontio tibi inmondissime spirete tartaruce, quem angelus Gabriel io te ordrnavit, ut silvestria loca collamontia opteneris aut iunc demum ore sine grauedene invoceris. Vede ergo inmondissime spirete tartaruce ut ubicoiqtia nomen domini audiveris vel scripturam cognoveris, nonpossis ubi vellis nocere. Iante habias Iordanis fluvioquem transire non potuisti; requesitus quare transire non potuisti dixisti quia ibi ignisa ganea ignifera et ubi conqua Conqua semper tibi ignisa ganea ignifera corrat. 
denontio tibi per domino meum: cave te ✝︎✝︎✝︎","✝︎ in the name of the Lord, Jesus Christ, I denounce you, most foul spirit of Tartarus, whom the angel Gabriel bound with burning fetters, you who hold ten thousand barbarians, came to Galilee after the resurrection. There Christ commanded that you be kept in the hilly, mountainous wild places and only from that hour on to be invoked without difficulty. Therefore see, most foul spirit of Tartarus, that wherever you hear the name of the Lord or recognize the scripture, you are not able to harm when you wish. In vain you hold the Jordan River which you have not been able to cross. When asked how you are not able to cross, you said, because it runs there to the fire (which comes) from fiery hell, and for you everywhere and always, may it run to the fire from fiery hell. I denounce you through my Lord. Beware! ✝︎✝︎✝︎",Tartarus,Unknown,Curse Amulet (Christian,Unknown,Vulgar Latin,No,,,,"Curse Tablets and Binding Spells from the Ancient World
","Antike Fluchtafeln
by Richard Wünsch"
Small Apamea Tablet,,Apamea,Syria,on the Orontes River,Apamea,Syria,on the Orontes River,35.418,36.398,,Wikipedia,50%,Late 5th to early 6th century ,450,550,500,"κύριοι άγιώτατοι χαρακτήρες δήσατε καταδήσα τε τους πόδα τας χώρας τα νερα τους οφθαλμούς τα γόνατα τα θράση τα άλματα την ταύραν την νίκην την στεφάνωσιν Πορφυράν κέ “Αψικράτην μεσαρίστερον κε τους συν αυτ[οι]ώ συνελαύνοντας χρόας καλαείνων στάβλου Ευγενίου εκ της άρτι ώρας εκ της σήμερον ημέρας μή φάγωσιν μή πίωσιν μή κοι μηθώσιν αλλά βλεπέτωσαν [α]πό θυρών δέμ[ο]νας αώρο[υ]ς 8 δέμονας βιέους Ηφέστου πύρ απ[ca. 4 ]εν τω ι[ππ]οδρόμω ότε μέλουσιν αγωνίζασθε μή χιάσωσιν μή παραβύσωσιν μή ταθώσι μή εκβάλω[σ]ιν μή παρέλθωσιν μή πε ρικλάσωσιν δι' όλης της ημέρας ότε μέλοσιν αγωνίζασθε κλασθώσιν συρώσιν αφανισθώσιν κατά τόπο κε κατά Ζαβ λαν ήδη ήδη ταχύ ταχύ. πόδας; χείρας; νεύρα και καλλαΐνων δαίμ[ο]νας δαίμονας βιαίους Ηφαίστου μέλλουσιν αγωνίζεσθαι και
","Most holy Lord Charakteres tie up, bind the feet, the hands, the sinews, the eyes, the knees, the courage, the leaps, the whip, the victory and the crowning of Porphuras and Hapsicrates, who are in the middle left, as well as his codrivers of the Blue colors in the stable of Eugenius. From this very hour, from today, may they not eat or drink or sleep; instead, from the starting gates may they see daimones of those who have died prematurely spirits of those who have died violently, and the fire of Hephaestus in the hippodrome at the moment when they are about to compete may they not squeeze over may they not collide, may they not extend, may they not force us out, may they not overtake, may they not break off in a new direction for the entire day when they are about to race. May they be broken, may they be dragged (on the ground), may they be destroyed; by Topos and by Zablas. Now, now, quickly, quickly!",Chariot Racers,Unnamed Client,Chariot Racing,Horses,Greek,No,,,,"Curse Tablets and Binding Spells from the Ancient World
",
Apse of Basilica of S. Agnese,,Rome,Via Nomentana,Basilica of St. Agnese,Rome,Via Nomentana,Basilica of St. Agnese,41.922917,12.518878,,Wikipedia,100%,7th century,638,699,669,Aurea Concisis surgit pictura metallis et complexa simul clauditur ipsa dies fontibus e nibeis credas aurora subire correptas nubes ruribus arua rignas / Vel qualem inter sidera lucem proferet irim purpureusque pavo ipse colore nitens qui potit noctis vel lucis reddere finem martyrum e bustis hinc reppulit ille chaos / eursum versa nutu quod cunctis cernitursque praesul honorius haec vota dictata dedit vestibus et factis signantur illius ora excitat aspectu lucida corda gerens,,,,,,latin,yes,,,,Christian Epigraphy,
Dedication to co-emperor Valens,,Rome,Arch of Valentinian,Right side of the arch,Rome,Museum Nazionale,garden of Chiosrto grande,41.9017,12.4665,found in 1878 under the Tiber,Wikipedia,75%,365/367,365,367,366,"Imperatori Caesari domino nostro Flavio Valenti, maximo pio felici victori ac triumfatori semper Augusto, Senatus Populusqe Romanus, ob providentiam quae illi semper cum inclyto fratre communis est instituti ex utilitate urbis aeternae Valentiniani pontis atque perfecti, dedicandi operis honore delato, iudicio principum maximorum, Lucio Aurelio Avianio Symmacho, viro classimo, ex praefectis urbi","To the emperor, our Lord Flavius Valens, maximus, pius, felix, victor and conquerer, ever augustus, the senate and the people of Rome, because of his foresight (Which he has in common with his illustrious brother (Valentinian I) in planning and completing the Valentinian Bridge to serve the needs of the eternal city, the honor of dedicating the work being conferred, by decision of the emperors, upon L. Aurelius Avianus Symmachus, of senatorial rank, former prefect of the city. ",Emperor Valens,SPQR,Tribute to emperor,Emperor,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
"Commemoration of Symmachus, the Orator's father, Rome",,Rome ,Capitoline,,Vatican,Cortile della Pigna,west side,41.893333,12.483056,"reported 1550 as found ""Under the capitol""",Wikipedia,50%,379,379,379,379,"Phosphorii. Lucio Aurelio Aviano Symmacho viro classimo, praefecto, urbi, consuli, pro praefectis praetorio in urbe Roma finitimisque provinciis, praefecto  annonae urbis Romae, pontifici maiiori, quindecemviro sacris faciundis, multis legationibus pro amplissimi ordinis desideriis apud divos princepes functo, qui, primus in senatu sententiam rogari solitus, auctoritate prudentia, atque eloquentia pro dignitate tanti ordinis magnitudinem loci eius inpleverit, auro inlustrem statuam, quam a dominis Augustisque nostris senatus amplissimus decretis frequentibus inpetrabit, idem triumfatores principes nostri constitui adposita oratione iuerunt quae meritorum eius ordinem acseriem constineret; quorum perenne iudicium tanto muneri hoc quoque addidit, ut alteram statuam pari splendore etiam apud Constantinopolim conlocaret. Dedicata III Kalendas Maias domino nostro Gratiano IIII et Merobaude consulibus. ","Statue of Phosphorius. In honor of L. Aurelius Avianius Symmachus, of senatorial rank, prefect of the city, consul, deputy of the praetorian prefects in the city of Rome and the neighboring provinces, prefect of the grain supply of the city of Rome, major priest, member of the college of 15, who has carried out many embassies on behalf of the senate to former emperors, and who, being usually the first to be asked his opinion in the senate, has given to this great place a full measure of dignity, sagacity, and eloquence to match the grandeur of so great a body, our victorious rulers have ordereed a bronze statue lustrous with gold, which the distinguished senate by repeated decrees succeeded in obstaining from our Lords/Augusti, to be set up and an inscription added which should contain a full list of his services in porper order, and to this great tribute their unfailing judgement has added this too, tht a second statue of equal splendor (the senate) should also set up at Constantinople. Dedicated April 29, in the consulship of our Lord Gratian (fourth time) and Merobaudes. ",L. Aurelius Avianius Symmachus,The emperors,The senate requested it,Praefecto urbi,latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Spolia Inscription from Aphrodisias,,Roman empire,aphrodisias,,"Anatolia, Turkey",Aphrodisias Museum,,37.708333,28.723611,,wikipedia,50%,later 4th century,361,363,381,"Ἀγαθῆι Τύχηι·
Φλ(άουιον) Κλ(αύδιον) [Ἰουλιανὸν] Θεοδόσιον τὸν αἰώνιον καὶ εὐσεβέστατον Αὔγουστον Ἀντώνιος Τατιανὸς ὁ λαμπρ(ότατος) ἡγεμὼν πᾶν τὸ ὁρώμενον ἔργον τοῦ τετραστώου ἐκ θεμελίων καὶ τὸν περικειμένον σύμπαν- τα κόσμον τῇ μητροπόλι κατασκευάσας","To Good Fortune. Antonius Tatianus, clarissimus praeses, having built all the work of the tetrastoon that can be seen from the foundations, and all the surrounding decoration, for the metropolis, (set up this statue) of Flavius Claudius Julianus (later  Theodosius), the eternal and most pious Augustus.",Emperor Julian,"Antonius Tatianus, clarissimus praeses",Tribute to emperor,Emperor,byzantine greek,no,,,,Class notes,Aphrodisias in Late Antiquity
Honors for Emperor Justinian,,Roman empire,Aphrodisias,Theatre,"Geyre, Turkey",Aphrodisias Museum,,37.70737,28.72497,,NYU,100%,6th century,500,599,550,τὸν εὐσεβέστ[α]- τον καὶ καλλί - νικον ἡμῶν [δεσπό]την Φλ(άουιον) [?Ἰουστινια]νόν,"The city honours] our most pious and splendidly victorious master, Flavius [?Justinia]nus.",Emperor Justinian,The city,Tribute to emperor,Emperor,byzantine greek,no,,,,Aphrodisias in Late Antiquity,
Verse honours for Albinus,,Roman empire,Aphrodisias,South Agora,"Geyre, Turkey",Aphrodisias Museum,,37.70737,28.72497,,NYU,100%,6th century,500,599,550,"Ἀγαθῇ Τύχῃ·Ἀλβῖνον φι |λόπατριν ἀμει |βομένη πόλις ἔργοις αἰνυμένη σ |τῆσε χρυσὸν ἀπει |ρέσιον,","To Good Fortune. The city, repaying his (good) works, set up (this statue of) Albinus, lover of his country, enjoying untold gold [?which he has given ...].",Albinus,The city,Tribute to wealthy citizen,Wealthy Citizen,Byzantine greek,no,,,,Aphrodisias in Late Antiquity,
Eugenius is honoured by the boule,,Roman empire,Aphrodisias,Hadrianic Baths,"Geyre, Turkey",Aphrodisias Museum,,37.708164,28.722444,Among the material from the French excavtions piled in the East Court.,wikimedia commons,100%,6th century,500,599,550,ἀντ' εὐεργεσίης καὶ | ὧν δωρήσατο πά |τρηι Εὐγένιον τάξις | στῆσεν ἀμιβομένη.,"In return for his benefaction, and for the gifts he has made to his country, the ordo set up (a statue of) Eugenius, in repayment.",Eugenius,the ordo,Tribute to wealthy citizen,Wealthy Citizen,Byzantine greek,no,,,,Aphrodisias in Late Antiquity,
