NameModern ,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date (CE),Date Low (CE),Date High (CE),Date Decision (CE),Date Notes,Synagogue Destroyed,Synagogue Converted,State Sponsored,Details,Punished (category null),Notes,Citations
NA,Unknown Roman Synagogue,Rome,Need more info,Need more info,Rome,Need more info,Italy,41.906438,12.481353,Literary evidence,Google Maps,Accurate only to city (50),,509,511,510,Average estimation,Yes,No,More research required,Rome synagogue burned,,,"*see: A Most Reliable Witness for details, sources pg 41
*condemned by Theodoric
"
NA,Synagogue,Kalesh near Amida,Mesopotamia,Syria,Diyarbekir,Need more info,Turkey,37.924891,40.207792,Literary evidence,Google Maps,Accurate to region (25),6th cent. ,500,590,550,More fact checking required for accurate date,Yes,No,No,Synagogue in Kalesh near Amida burned down by local monk (Sergius) and his followers,,,"*see: A Most Reliable Witness for details, sources pg 41
*condemned by Theodoric
"
NA,Unknown synagogue,Orleans,Need more info,Gaul ,Orleans,Need more info,France,47.900913,1.906214,Literary evidence,Google Maps,unsure,Pre-585,unsure,580,580,"more fact checking required, date range is not too off though",Yes,No,More research required,Synagogue at Orleans destroyed,,,"*reported by Gregory of Tours
**see: A Most Reliable Witness for details, sources pg 42"
Church of Theotokos Chalkoprateia,Unknown synagogue,Constantinople,Need more info,Byzantine Empire,Istanbul,Need more info,Turkey,41.010307,28.978678,Archaeological evidence,Google Maps,Nearly exact (90),During reign of theodosius II,unsure,450,430,More fact checking required to maybe narrow in on date,No,Yes,Yes,Synagogue converted to church for Virgin Mary by Theodosius II,,,
NA,Unknown Synagogues,Antioch,Need more info,Need more info,Antakya,Need more info,Turkey,36.201603,36.166289,Literary evidence,Google Maps,Accurate only to city (50),423,423,423,423,The violence is said to be in response to an event dated to 415 but multiple sources have listed 423 as the date so that is currently the decided date,Yes,No,No,Synagogues destroyed by rioters. ,,Some scholars are unsure as to whether the destruction was targeted anti-semitism or if the damage was just a random riot target.,"Referenced in ""Faith and Fratricide"""
Unknown church name,Synagogue containing macabee relics,Antioch,Need more info,Need more info,Antakya,Need more info,Turkey,36.201603,36.166289,Literary evidence and Archaeological evidence,Google Maps,Accurate only to city (50),386,350,386,365,"Early 4th century, no later than 386. Date chosen at random by average",No,Yes,More research required,Synagogue containing maccabee relics converted into a church,,,A Most Reliable Witness
NA,Unknown synagogues,Terracina,Need more info,Need more info,Terracina,Province of Latina,Italy,41.295533,13.236159,Literary evidence,Google Maps,Accurate only to city (50),591,591,591,591,More fact checking required,Unknown,Unknown,More research required,"Jewish population forced to leave synagogues, but unsure if they were actually ever converted",,,"*see: A Most Reliable Witness for details, sources pg 42"
Unknown,Elche Synagogue,Elche,tbd,tbd,tbd,tbd,Spain,38.269488,-0.711998,Archaeological evidence,Google Maps,Accurate only to city (50),tbd (by 7th cent.),550,600,575,"if possible: find more exact data, most likely just an estimation",Mostly (remains found),Yes,More research required,Synagogue remains found under church,,,A Most Reliable Witness
Unkown,Unknown Synagogue,Lepcis Magna,tbd,tbd,Khoms,tbd,Libya,32.637624,14.294339,Archaeological evidence,Google Maps,Exact,6th cent.,510,590,550,"need more data, ignore date",Mostly (remains found),Yes,More research required,"Basilica built over a synagogue. Lander (author of ""Ritual Sites and Religious Rivalries in Late Roman North Africa""), among others, seems to think that the synagogue may have been already damaged from environmental factors and that the rebuilding of a basilica on top of it was not violent. It is still included here because it still represents that rather than be refurbished as a synagogue, a church was built over it",,,Ritual Sites and Religious Rivalries in Late Roman North Africa
null,Aquilea Synagogue,Aquilea,tbd,tbd,Aquilea,tbd,Italy,45.777795,13.36991,Literary evidence and archaeological record,Google Maps,Exact,ca. 388,388,388,388,"Unsure of exact date, but estimations from primary sources link it to around 388 CE",No,Yes,More research required,"Synagogue mosaic found under a basilica. Mentioned potentially by Ambrose in a letter (he makes reference to the burning of a synagogue, unsure whether this is the one or not)",not sure,,"""A Most Reliable Witness"" pg 38, also document by Ambrose (though this data is far less direct"
