plan,function1,function2,"Name, anglicized",Name of modern structure on top,"place, modern",Patron, Date_estimate_AD,Date_low,Date_high,Date_av,comments on dates,source,lat,,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source,,,,
nul,martyrium,nul,tomb of st. peter,tomb of st. peter,Rome,no,160,120,180,150,date from brickstamp,Krautheimer p. 12,41.90216,12.45393,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,controversial archaeology,,,,,,,,,
basilica with transept,church,martyrium,S. Peter,S. Peter,Rome,no,400,337,400,369,date gives range from start under Constantine to final completion ca. 400 AD,"Krautheimer p. 12, 33-34",41.90216,12.45393,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
nul,mausoleum,nul,Mausoleum to Honorian dynasty,S Peter,"Vatican City, Rome",check,400,390,410,400,date given by archaeological context,"Krautheimer, p. 42",41.90216,12.45393,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
nul,martyrium,nul,Calixtus Catacomb,"""Chapel of the Popes""",Rome,no,250,207,314,261,date is deduced from context,Krautheimer p. 12,41.86082,12.50875,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Open worship space,church,festivals,triclia,S. Sebastiano,Rome,no,258,250,300,275,date is archaeological,Krautheimer p. 12,41.8557,12.5156,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Basilica,church,funerary,S. Sebastiano,S. Sebastiano,"Via Appia, Rome",no,325,300,330,315,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 15,41.8557,12.5156,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Open worship space,church,festivals,triclia,Bonn cathedral,Bonn,no,260,240,280,260,date is a guess,Krautheimer p. 12,50.73343,7.09953,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Basilica,church,nul,basilica of Helena,basilica of Helena,Bonn,Helena,330,323,340,332,date is a guess,https://www.bonner-muenster.de/das_muenster/muenster-geschichte/kaiserliche-stiftung_helena/,50.73343,7.09953,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,need to follow up reference,,,check,,,,,,
check,martyrium,church,Anastasius Mausoleum,Anastasius Mausoleum,Salona-Marusinac,no,305,300,310,305,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 14,43.54375,16.47488,"deduced from photo here, http://mdc.hr/split-arheoloski/eng/salona-2.html, and google satellite",,,,,"F. Bulić and L. Jelić, from 1892, with interruptions, to 1910, finding many details, completed more systematically by subsequent excavations by firstly R. Egger, F. Bulić and M. Abramić, and then by E. Dyggve in 1929-1930.",,,,,,
check,martyrium,nul,Martyrium of St. Praetextatus,catacomb of St. Praetextatus,Rome,no,325,310,330,320,relative dating based on style,Krautheimer p. 14,41.85787,12.51794,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,nul,S. Chrisogono,S. Chrisogono,Rome,no,325,300,330,315,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure based on brickwork. Date_high highest reasonable guess for construction",Krautheimer p. 15,41.88909,12.47363,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
house-church,church,nul,none,none,Aquileia cathedral,no,250,200,300,250,date is deduced from context,Krautheimer p. 23,45.7697,13.37099,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
double basilica,cathedral,nul,Aquileia cathedral,check,Aquileia cathedral,no,313,313,319,316,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 23,45.7697,13.37099,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
double basilica,cathedral,nul,Aquileia cathedral,check,Aquileia cathedral,no,400,390,410,400,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 22,45.7697,13.37099,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,nul,Orleansville,Orleansville,"Clef, North Africa",check,324,324,324,324,date from dedicatory inscription,Krautheimer p. 24,36.15151,1.30724,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"not exact, city only",,,,,,,,,,
counter-apse,martyrium,nul,Orleansville,Orleansville,"Clef, North Africa",check,400,380,420,400,date from dedicatory inscription,Krautheimer p. 140,36.15151,1.30724,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"not exact, city only",,,,,,,,,,
Colonnaded complex,cathedral,nul,Cathedral of Tyre,none,Sur,no,318,318,318,318,date from Eusebius's descriptoin,Krautheimer p. 24,33.2699,35.19758,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"not exact, just district",,,,,,,,,,
basilica,church,nul,Basilica of Constantine,S. Giovani in Laterano,Rome,Constantine,313,313,320,317,date from Eusebius's descriptoin,Krautheimer p. 25,41.88588,12.50567,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,nul,Christian basilica trier,High Cathedral of Saint Peter in Trier,Trier,Constantine,330,325,340,333,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high given by Athanasius attending mass there in 340",Krautheimer p. 27,49.7554,6.64376,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica ,church,nul,Basilica of Trier,check,Trier,Gratian,380,350,400,375,date is approximate,Krautheimer p. 60,49.7554,6.64376,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,rebuilding by the Emperor Gratian,,,as part of Romanesque church,x,,,,,,
nul,Palace Church,nul,Basilica of the Holy Cross in Jerusalem,SantaCroce,Rome,Helena,340,330,350,340,date very rough,Krautheimer p. 27,41.88823,12.51584,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,funerary,S. Lorenzo,Basilica San Lorenzo al Verano,"via Tiburtina, Rome ",check,320,310,337,324,date is constantinian,Krautheimer p. 31,41.90252,12.52055,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilical,funerary,nul,S. Agnese,S. Agnese,"Via Nomentana, Rome ",check,340,330,350,340,date is post-constantinian,Krautheimer p. 31,41.92299,12.51881,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
nul,mausoleum,nul,Mausoleum of Constantia,S. Agnese,"Via Nomentana, Rome ",Constantius,350,340,360,350,"date is rough, based on historical source",Krautheimer p. 42,41.92299,12.51881,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,funerary,SS. Marchelino e Pietro,Chiesa dei Santi Marcellino e Pietro al Laterano," Via Labicana, Rome",check,320,310,337,324,date is late constantinian,Krautheimer p. 32,41.88909,12.50319,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
nul,Mausoleum,nul,Mausoleum of Helena,Chiesa dei Santi Marcellino e Pietro al Laterano," Via Labicana, Rome",Constantine,330,330,330,330,date is exact based on historical death date,Krautheimer p. 41,41.88909,12.50319,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,martyrium,nul,Five Martyrs,check,Salon-Kapljuc,check,350,330,360,345,date is constantinian or just post,Krautheimer p. 32,43.53971,16.48328,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"right area, not exact building",,,,,,,,,,
basilica,church,funerary,basilica saint salsa,basilica saint salsa,Tipasa,local bishop,340,330,370,350,date is relative based on archaeology,Krautheimer p. 32,36.59357,2.44394,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"right city, not right building",,,,,,,,,,
basilica,church,martyrium,Grotto of the Nativity,Church of the Nativity,Bethlehem,"Helena , Constantine",330,327,337,332,"date is late Constantinian, Helena's pilgrimmage was in 326",Krautheimer p. 36,31.7043,35.20752,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,martyrium,Basilica on Golgotha,Holy Sepulchre,Jerusalem,"Helena , Constantine",330,328,336,332,"date is late Constantinian, begun 328, consecrated 336",Krautheimer p. 36,31.77848,35.2296,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,x,x,"Eusebius, 3.26",mosaic of St Pudienza in Rome,,,,
round,church,martyrium,Mambre church,Alonei Mamre,Ramat-el-Khalil,"Helena , Constantine",330,327,337,332,"date is late Constantinian, Helena's pilgrimmage was in 326",Krautheimer p. 36,31.55542,35.1106,http://visitpalestine.ps/where-to-go/listing/hebron/sites-attractions-hebron/archeological-sites-hebron/mamre-haram-ramat-al-khalil/,,,,,x,x,mosaic of St Pudienza in Rome,,,,
basilica,church,apostoleion,Church of the Apostles,Hagia Sophia,Constantinople,Constatnine,360,330,360,360,"begun under constantine, not finished until 360",Krautheimer p. 46,41.00858,28.98017,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,"Eusebius, Life of Constantine, 4.58.",,,,,
basilica,church,nul,Hagia Sophia,Hagia Sophia,Constantinople,imperial,380,370,420,395,fourth century,Krautheimer p. 46,41.00858,28.98017,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
domed,church,nul,Hagia Sophia,Hagia Sophia,Constantinople,Justinian,536,536,536,536,date from Eusebius's descriptoin,Krautheimer p. 46,41.00858,28.98017,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,x,x,Eusebius,x,,,,
cross-shaped,martyrium,nul,Well of Jacob Basilica,"Church of St. Photina, Nablus",Nablus,no,380,350,450,400,date from archaeology,Krautheimer p. 50,32.20951,35.28528,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,"Adamnanus, De locis sanctis libri tres, Arculf, p; 270",,,,,
Octagonal rotunda,church,martyrium,Anastasis,check,Jerusalem,Constantinian,370,350,380,365,date from archaeology,Krautheimer p. 50,31.77848,35.2296,http://www.sepulchre.custodia.org/default.asp?id=4112,,courtyard behind constantine's marytrium and basilica,,,x,,,,,,
Octagonal rotunda martyrium,martyrium,nul,Imbomon,Church of the Ascension,"Mount of Olives, Jerusalem",Pomoenia,370,360,380,370,date from inscription,Krautheimer p. 50,31.77889,35.24506,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
Octagonal rotunda,church,nul,Church of Scythopolis,check,Beisan,check,400,350,450,400,date from context,Krautheimer p. 50,32.50645,35.50553,"
https://drive.google.com/open?id=1HFhQf3_GUJcgfXzZkSvLq6vC88IzG2cO","taken measurements to points 11 or 12 from excavator's plan, and applied to google map, estimate only","there are two chuches, need to distinguish",,,x,,,,,,
Rotunda,martyrium,nul,Tomb of the Virgin,none,"Valley of Josaphat, Jerusalem",check,400,350,450,400,date from context,Krautheimer p. 51,31.78013,35.23938,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
Octagonal Rotunda,church,nul,Church of the Virgin,The Church of Mary Theotokos on Mt. Gerizim,"Mount Gerizim, Nablus",Emperor Zeno,484,474,491,484,"date bounds from reign of Zeno, 484 from inscription",Krautheimer p. 51,32.2012,35.27353,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,id'd from satellite photo,,,,x,,,,,,
Octagonal Rotunda,church,nul,SS. Karpos and Polykarpos,Church of Saint Menas of Samatya,Constantinople,unknown,400,380,430,405,date from masonary of church,Krautheimer p. 51,41.00056,28.93182,https://en.wikipedia.org/wiki/Church_of_Saint_Menas_of_Samatya,check with scholarly source,,,,x,,,,,,
Cross-shaped,martyrium,nul,Martyrium of St. Babylas,none,"Kaoussié, Antioch",civic,378,378,378,378,date from historical context,Krautheimer p. 51,36.2271,36.1481,"https://books.google.com/books?id=EFnxuUwINSQC&pg=PA43&lpg=PA43&dq=The+Kaoussie+Church,+also+known+as+the+martyrion+of+Saint+Babylas,+in+Antioch&source=bl&ots=Bw5x19jHA2&sig=Ek2WlYDDZpbFzXboiUwHtP1dGHQ&hl=en&sa=X&ved=2ahUKEwj1psay2IPdAhVts1kKHRiYALkQ6AEwDnoECAAQAQ#v=snippet&q=babylas&f=false","approximate, reseach further",,,,x,,,,,,
Octagonal,palace Church,nul,Golden Octagon,none,"Orontes Island, Antioch",Constantine,330,327,341,334,date from two years after coucil of Nicea,,36.19873,36.15669,placeholder location,adjacent to imperial palace,possible the palace church,,no,no,Eusebius and later,known from mosaic,,,,
Rotunda,church,nul,H. Georgios,Agiou Georgiou Rotonta,Thessaloniki,Constantine,400,300,420,400,"date from masonary, two phases of construction",Krautheimer p. 55,40.6333,22.95285,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,extant,x,,,,,,
Cross-shaped,relic site,nul,Church of the Apostles,S. Nazaro,Milan,St. Ambrose,382,382,400,391,date from St. Ambrose,Krautheimer p. 57,45.45885,9.19282,,,,,rebuilt,x,,Vatican Codex Vat.gr.1162 ,,,,
cross-shaped,church,martyrium?,S. Simpliciano,S. Simpliciano,Milan,Simplicianus,400,397,401,399,date from primary life dates of Simplicianus,Krautheimer p. 58,45.47391,9.18438,https://en.wikipedia.org/wiki/Basilica_of_San_Simpliciano,,perhaps initially a basilica virginum dedic to all the saints,,rebuilt,x,,,,,,
basilica and eight-sided baptistery,church,nul,S. Giovanni in Conca,"
Piazza Giuseppe Missori",Milan,nul,375,360,450,405,"date from style, remodelled in 450",Krautheimer p. 58,45.46094,9.18841,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,under S. Tecla,1943 and 1961,,,,,,
"Quatrefoil, Octagon",church,nul,S. Lorenzo,S. Lorenzo Maggiore,Milan,Auxentius,370,350,400,375,date from style,Krautheimer p. 55,45.45821,9.18207,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,court church for Emperors?,,x,x,,,,,,
Cross-shaped,church,masuoleum,S. Croce,S. Croce,Ravenna,Gallia Placida,425-450,425,450,438,"date from literary evidence, life of gallia placidia",Krautheimer p. 58,44.42098,12.1971,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,not precise to building level,,,yes but rebuilt,x,,,,,,
Cross-shaped,church,nul,S. Stefano,S. Stefano,Verona,nul,450,400,500,450,date from context,Krautheimer p. 58,45.44877,11.00005,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
Cross-shaped,church,nul,Princes of the Apostles,S. Abbondio,Como,nul,425,400,475,438,dated by style,Krautheimer p. 58,45.80243,9.08045,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
oval with niches,martyrium,nul,St Gereon,St Gereon's Basilica,Cologne,nul,400,350,450,400,no precise date,Krautheimer p. 62,50.943333,6.945833,"https://tools.wmflabs.org/geohack/geohack.php?pagename=St._Gereon%27s_Basilica,_Cologne&params=50_56_36_N_6_56_45_E_region:DE-NW_type:landmark",not precise to ancient location,,,part of Romanesque,x,,,,,,
basilica with transept,church,nul,St. Paul outside the walls,S. Paolo fuori le mura,"Ostian way, Rome",nul,385,380,390,385,date from dedication,Krautheimer p. 63,41.85867,12.47673,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
basilica,church,nul,Sa. Maria Maggiore,Sa. Maria Maggiore,Rome,Sixtus III,435,432,440,436,date from pontificate of Sixtus III,Krautheimer p. 64,41.89759,12.4984,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,x,x,,,,,,
Rotunda and cross,church?,nul,S. Stefano Rotondo,S. Stefano Rotondo,Rome,nul,468,468,483,476,check,Krautheimer p. 65,41.88579,12.49931,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,check,,,,,,
Basilica,church,acheiropoetos,Basilica of the Acheiropoetos,Church of the Acheiropoetos,Thessaloniki,nul,470,460,480,470,date from archaeology,"Krautheimer p. 74, 93",40.63497,22.94786,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
Basilica,church monastery,monastery,St. John Studios,Imrahor mosque,Constantinople,Senator Studios,463,463,463,463,date from dedication,Krautheimer p. 78,0.99614,28.9288,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,x,,,,,
basilica and martyrium,church,martyrium,St. Mary in the Chalkopratiae,check,Constantinople,nul,470,450,490,470,date from style,Krautheimer p. 79,41.00955,28.97845,http://www.thebyzantinelegacy.com/chalkoprateia,,,,,x,,,,,,
basilica and martyrium,church,martyrium,St Euphemia,nul,Chalcedon,nul,430,420,450,435,"upper date is fixed, lower stylistic",Krautheimer p. 79,41.00741,28.97551,http://www.thebyzantinelegacy.com/hagia-euphemia,,,,,no,x,,,,,
basilica and martyrium,church,martyrium,St. Mary in the Blachernai,Church of St. Mary of Blachernae,Constantinople,nul,520,518,527,523,date given by reign of Justin I,Krautheimer p. 79,41.03858,28.94256,https://en.wikipedia.org/wiki/Church_of_St._Mary_of_Blachernae_(Istanbul),not precise to building,,,,,,,,,,
Cross-shaped,church,nul,St. John,St. John of Ephesus,Ephesus,nul,450,425,475,450,date stylistic,Krautheimer p. 80,37.95253,27.36796,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,derived from satellite photo,,,under justinian's church,x,,,,,,
Basilica,church,nul,Epihanius basilica,Agios Epiphanos Basilica,"Salamis, Famagusta, Cyprus",nul,450,400,500,450,date approximate,Krautheimer p. 80,35.17988,33.90068,https://www.persee.fr/doc/cchyp_0761-8271_2013_num_43_1_1060,"derived from map in article, and comparing drawn plan to google earth",known only from plan,,,x,,,,,,
basilica,cathedral,nul,St. Mary at Ephesus,Ancient Church of Mary,Ephesus,nul,400,390,420,405,"date approx, certainly complete by 431",Krautheimer p. 81,37.94494,27.33914,https://tools.wmflabs.org/geohack/geohack.php?pagename=Church_of_Mary&params=37_56_41.78_N_27_20_21.13_E_type:landmark,,,,,x,x,,,,,
basilica,church,nul,Mastichari basilica,Basilica of Agios Iohannis,"Mastichari, Kos",nul,450,400,500,450,date approx.,Krautheimer p. 82,36.84057,27.06707,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
basilica,church,nul,basilica at Side,nul,Selimiye,nul,400,390,480,435,"likely early 5th, but only a guess",Krautheimer p. 82,36.76789,31.39458,"https://www.google.com/maps/place/P%C4%B0SKOPOSLUK+SARAYI/@36.7678945,31.394586,289m/data=!3m1!1e3!4m5!3m4!1s0x14c35bd5d39ad281:0x8ef153323d293e00!8m2!3d36.7678945!4d31.394586",not precise to building,,,,x,,,,,,
basilica,church,nul,St. Thecla,Aya Tekla Church,Silifke,nul,480,450,500,475,style of opus sectile pavements suggest craftsmen from Emperor Zeno's court,Krautheimer p. 83,36.362778,33.930833,https://en.wikipedia.org/wiki/Aya_Tekla_Church,check,,,,x,,,,,,
basilica,cathedral,nul,Basilica of Korykos,nul,Kiz Kalesi,nul,450,400,500,450,approximate,Krautheimer p. 84,36.46738,34.15112,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,location of city only,,,,x,,,,,,
"basilica, reduced cross transept",church,nul,"Basilica A, Perge",nul,Perge,nul,480,450,500,475,approximate,Krautheimer p. 84,36.96184,30.85392,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,check it's the correct basilica,,,,x,,,,,,
"baslica, cross transept",church,baptistery,St. Menas,St. Mina Monastery,"Abu Mina, Egypt","Arcadius, Theodosius",412,400,475,438,based on imperial reign dates and style,Krautheimer p. 85,30.85156,29.66614,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,x,,,,,,
"basilica, reduced cross transept",church,nul,basilica extra muros Korykos,nul,Kiz Kalesi,nul,480,450,500,475,stylistic,Krautheimer p. 85,36.46762,34.15042,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,placeholder guess,,,,x,,,,,,
