NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeologicalCitation,Geological Certainity,Date,Date Low,Date High,Date Decision,Materials used,Level of artistic input,Which group created this,What was its use,Extanat,Was it a decorative object or useful? ,Does it feel Roman or not,Notes1,Notes2,Source
Codex argentus,Codex Argentus,Ravenna,Italy,Null,Carolina Rediviva Library,Uppsala,Sweden,44.416294,12.204718,Modern Discovery,Google Maps,75%,Ca 500 CE,498 CE,500 CE,500 CE,"Tempera, gold, silver, purple Vellum",High,Ostrogoths,Bible,"Yes, in pieces",Useful object made decorative,Ostrogothic and Roman,Written for Theoderic. ,Translated by Wulfila,Class Notes
Sant' Apollinare Nuovo,Sant' Apollinare Nuovo,Ravenna,Italy,Null,Ravenna,Italy,Null,44.41685,12.204894,Extant,Class Notes,100%,Ca 500 CE,Ca 500 CE,Ca 500 CE,Ca 500 CE,"Stone, precious stones, gems, glass, gold",High,Ostrogoths,Church,Yes,Useful object made decorative,Ostrogoths,Redecorated in part in 560 by Byzantines,Known for mosaics,Class notes/ Ravenna in Late Antiquity
Vandal imitation Siliqua of Honorius Siliqua,Null,Carthage,Tunisia,North Africa,Null,Null,Null,36.853897,10.322068,Archaeological Excavation,Class Notes,70%,5th Century ,428 CE,477 CE,450 CE,Silver,Low,Vandal,Coin,"Yes, but location not known",Useful,Vandal,Minted under Geiseric,,Excavations at Carthage 1975
Theoderic's Gold Medallion,Null,Ravenna,Italy,Null,Palazzo Massimo,Rome,Italy,44.417095,12.203412,Archaeological Excavation,Google Maps,75%,Ca 500 CE,499 CE,505 CE,509 CE,Gold,High,Ostrogothic,Medallion,Yes,Decorative,"Ostrogothic, with some Roman elements","Part of what Theoderic is wearing is meant to resemble Roman clothes, including the jewel on his shoulder ",,Towards a History of Theoderic’s building program
Theoderic Inscription,Null,Terracina,Latina,Italy,Null,Null,Null,41.291393,13.260121,Archaeological Excavation,Toward a History of Theoderic's Building Program,80%,475-526 CE,475 CE,526 CE,490 CE,Stone,Medium,Ostrogoth,Inscription,"Yes, but location not known",Useful,Ostrogothic,"Inscription: “ Our Lord, the very glorious and celebrator of triumphs, always Augustus, for the good of the state, guardian of liberty, propagator of the Roman people, subjugator of people’s”","Doesn’t refer to theoredic in name, but uses the word Imperium which is often used in reference to him",Towards a History of Theoderic’s building program
Arian church complex,S. Spirito,Ravenna ,Italy,Null,Ravenna,Italy,Null,44.418821,12.202474,Extant,Towards a History of Theoderic’s building program,100%,"End of 5th century, beginning of the 6th century",480 CE,515 CE,499 CE,"Stone, ",High,Ostrogothic,Arian Church and Baptistery,Yes,Useful object made decorative,Ostrogothic with Byzantine influences,The ceiling mosaic is one of the few remaining aspects from the Ostrogothic period. ,Was originally built as Arian with close connections to Eastern Orthodoxy. Members of the Eastern Orthodox church are believed to have created some of the art that no longer remains,Towards a History of Theoderic’s building program
Santa Maria Maggiore,Santa Maria Maggiore,Trento,Italy,Null,Trent ,Italy,Null,46.068718,11.119554,Extant,Towards a History of Theoderic’s building program,100%,"Late 5th Century, early 6th Century",485 CE,510 CE,499 CE,"Marble, mother of pearl, glass, stone, concrete",Medium,Ostrogothic,Church,Yes,Useful object made decorative,Blend of Roman and Ostrogothic,Church was renovated throughout the Renaissance. Divided into 3 knaves,Built according to the wishes of Archbishop Bernado Clesio,Towards a History of Theoderic’s building program
Theoderic Palac,Theoderic Palace,Pavia,Lombardy,Italy,Null,Null,Null,45.177025,9.159851,Archaeological Excavation,Towards a History of Theoderic’s building program,80%,495-526 CE,495 CE,526 CE,510 CE,"Gold, silver, glass, marble, brick",Medium,Ostrogothic,Palace of a King,No,Useful object made decorative,Blend of Roman and Ostrogothic,No longer survives. In one of his secondary capitals,Throne room had a mosaic portrait of Theoderic,Towards a History of Theoderic’s building program
Baths built by Theoderic,Null,Verona,Venato,Italy,Null,Null,Null,45.432472,10.990551,Primary Source,Towards a History of Theoderic’s building program,70%,490-526 CE,490 CE,526 CE,510 CE,Unknown,Unknown,Ostrogothic,Public Bath,No,Useful object made decorative,Null,No longer surviving. One of his biggest feats in Verona,Theoderic won Battle of Verona and thus was able to settle in this area,Towards a History of Theoderic’s building program
Theoderic Palac,Null,Verona,Venato,Italy,Null,Null,Null,45.443186,10.986685,Primary Source,Towards a History of Theoderic’s building program,75%,490-526 CE,490 CE,526 CE,511 CE,Unknown,Unknown,Ostrogoths,Palace of a King,No,Useful object made decorative,Null,No longer survives. A palace in one of his secondary capitals Source: Cassiodrius,,Towards a History of Theoderic’s building program
Theoderic Hunting Lodge with Baths,Null,Galeata,Forli-Cesena,Italy,Galeata,Forl-Cesena,Italy,44.002419,11.897134,Archaeological Excavation,Towards a History of Theoderic’s building program,70%,490-526 CE,490 CE,526 CE,505 CE,"water, marble mosaics",High,Ostrogoths,Palace of a King,"Yes, but in ruins",Useful object made decorative,Roman not ostrogothic,"Exact location is very difficult to pinpoint, based off the location of an old church. Many conflicting sources online",Had many baths and was made to be used in both summer and winter,Towards a History of Theoderic’s building program
Racing track,Null,Palatine Hill,Rome,Italy,Palatine Hill,Rome,Italy,41.887295,12.487112,Extant,Towards a History of Theoderic’s building program,100%,Early 6th Century,500 CE,526 CE,502 CE,Stone,Medium,Ostrogoth,Public Racetrack,Yes,Useful object,Roman,Feels Roman as it was an extension of a prior Roman racetrack,"Date comes from research which states that Theoderic visited Rome around 500 CE, but is not verified",Towards a History of Theoderic’s building program
Dos Trentos,Verruca Castellum,Monte Verruca,Trento,Italy,Monte Verruca,Trento ,Italy,41.887295,12.487112,Primary Source,Towards a History of Theoderic’s building program,100%,507-511 CE,507 CE,511 CE,509 CE,"Stone, marble, mosaic, weapons",Medium,Ostrogoths,Military fort,"Yes, but in ruins",Useful,Ostrogothic,"Was a military fort, and based on a primary source letter, commonly assumed to be this location","There appears to be a church nearby, but not mentioned in any primary sources so unclear if it is actually from this time period",
Brick with Theoderic's name mentioned in inscription,Null,Temple of Vesta,Rome,Italy,Temple of Vesta,Rome,Italy,41.891713,12.486191,Archaeological Excavation,The Ostrogoths in Italy,100%,500-505 CE,500 CE,505 CE,503 CE,Brick,Low,Ostrogoth,Used in buildings as an inscription,Yes,Useful,Roman,"Inscription: +REG(nante) D(omino) N(ostro) THEODE/RICO [b]O[n]O ROM(a)E"", which translates as With our master Theodoric the Good reigning in Rome [this brick was made]",The idea of having a brick with an inscription is very much Roman. Date came from yeat 500 when Theoderic comes to Rome,The Ostrogoths in Italy
Byrsa Mosaic,Null,Byrsa,Carthage,Tunisia,Louvre,Paris,France,36.85251,10.322811,Archaeological Excavation,Felix Karthago,100%,Turn of the 6th Century,495 CE,500 CE,498 CE,"Stone, glass, precious glass",High,Vandal,Floor mosaic,"Yes, in pieces",Useful object made decorative,Roman/ Vandal. ,"Not known who made it, could be either Roman or Vandal","Depicts Lady Carthage, personification of the city",Felix Karthago
Ostraka,Ostraka,Oud el Mitta,Bir Trouch,Algeria,Null,Null,Null,34.872603,6.939372,Archaeological Excavation,Felix Karthago,70%,During reign of King Gunthamund,484 CE,496 CE,488 CE,Stone,Low,Vandal presumably,Calendar/ dating tool,Yes,Useful object,Roman,Used as a dating tool. ,No description of it exists online other than it being a dating tool,Felix Karthago
Terracotta Lamp,Null,Damous el Karita,Carthage,Tunisia,Musee du Bardo ,Tunis,Tunisia,36.861611,10.331268,Archaeological Excavation,Felix Karthago,95%,c 5th-6th Century,400-499 CE,400 CE,499 CE,Red slip ware pottery,Medium,Not known,Lamp,Yes,Useful,"Object is roman, design looks Vandal","Not known who made it, could be either Roman or Vandal","The palm tree design is representative of this time, and is well-preserved so could be Roman",Felix Karthago
Statues in Ampitheatre Flaviae,Null,Ampitheatre Flaviae,Rome,Italy,Null,Null,Null,41.887298,12.488406,Primary Source,Towards a History of Theoderic’s building program,100%,500-505 CE,500 CE,505 CE,500 CE,Marble,High,Ostrogothic,Statue on walkway,No,Decorative,"As it is Rome, it will feel more Roman","Does not exist, but was built to align Theoderic with the Roman Empire",,Towards a History of Theoderic's building program
Weight with Theoderic's name inscribed,Null,Rome ,Italy,Null,British Museum,London,England,41.885231,12.483245,Archaeological Excavation,Towards a History of Theoderic’s building program,80%,493-526 CE,493 CE,526 CE,501 CE,"Copper alloy, silver",Low,Ostrogothic,Weight,Yes,Useful,Ostrogothic,Nothing interentially Roman about it,engraved with Theoderic's name,Towards a History of Theoderic's building program
Vandal Beads,Null,Annaba,Algeria,Africa,British Museum,London,England,36.401208,9.9031319,Archaeological Excavation,Felix Karthago,75%,5th Century,400 CE,499 CE,481 CE,"Monochrome glass, amber, polychrome glass, melon",Low,Vandal,Beads for jewelery,Yes,Decorative,Vandal,32 Beads,From grave 2,Felix Karthago
Gold Earring,Null,Annaba ,Algeria,Africa,British Museum,London,England,36.401208,9.9031319,Archaeological Excavation,Felix Karthago,75%,5th Century,400 CE,499 CE,481 CE,Gold,Medium,Vandal,Jewelery,Yes,Decorative,Vandal,"Earrings, stone inside them is missing","From grave 2, heart design",Felix Karthago
Nummus coin,Nummus,Carthage,Tunisia,Africa,British Museum,London,England,36.850702,10.327173,Archaeological Excavation,Excavations at Carthage: 1975,80%,496-523 CE,496CE,523 CE,499 CE,Copper,Low,Vandal,Currency,Yes,Useful,Vandal,Minted under Vandal King: Trasamund,,Excavations at Carthage 1975
Gold Tremissis,Tremisssis,Rome ,Lazio,Italy,British Museum,London,England,41.891539,12.485735,Archaeological Excavation,British Museum,80%,527-530 CE,527 CE,530 CE,530 CE,Gold,Medium,Ostrogothic,Currency,Yes,Useful,Ostrogothic,"On front, bust of Justinius I, on back Victory and a globe",Minted under Theodahad,British Museum
Small lodge and Baths of Theoderic,Null,Rocca di Papo,Rome,Italy,Null,Null,Null,41.74437,12.693009,Primary Source,Towards a History of Theoderic’s building program,85%,490-526 CE,490 CE,526 CE,505 CE,"Stone, marble, water, concrete, precious stones",High,Ostrogothic,Palace and bath,Yes,Useful object made decorative,Roman,"Does not exist, but was built to align Theoderic with the Roman Empire",Has been partially excavated,Towards a History of Theoderic's building program
Silver Coin of Hilderic Nummus,Nummus,Carthage,Tunisia,Africa,Herberden Coin Room,Oxford,England,36.850702,10.327173,Archaeological Excavation,Felix Karthago,80%,523-530 CE,523 CE,530 CE,527 CE,Silver,Low,vandal,Currency,Yes,Useful,Vandal,Inscription on Back: Felix Carthage: Fortunate Carthage,Depicts King Hilideric on the front and Lady Carthage on the back,Felix Karthago
Gold Quarter,Null,Carthage,Tunisa,Africa,American Numismatic Society,New York City,New York,36.850702,10.327173,Archaeological Excavation,Felix Karthago,85%,523-530 CE,523 CE,530 CE,526 CE,Gold,Low,Vandal,Currency,Yes,Useful,Vandal,"Depicts a traditional Goddess in Carthage, Tanit","On the back is a Palm tree, another traditional element in this region",Felix Karthago
Funerary Inscription,Null,Basilica of Cyprian,Carthage,Tunisia,Null,Null,Null,36.8528,10.3233,Primary Source,Felix Karthago,100%,438-439 CE,438 CE,439 CE,438 CE,Stone,Medium,Vandal,Funerary inscription,Yes,Useful,Roman,Uses Consular dating for the year,One of the last vandal uses of this before changing,Felix Karthago
Clay Lamp,Null,Carthage,Tunisia,Africa,Null,Null,Null,36.864712,10.341248,Archaeological Excavation,Excavations at Carthage: 1975,90%,6-7th Century,500 CE,599CE,550 CE,Clay,Low,Vandal,Lamp,"Yes, but only half remains",Useful,Vandal,The design with hearts is similar to the Vandal jewelery mentioned above,Only one half remains,Excavations at Carthage 1975
Glass vessel,Null,Annaba,Carthage,Tunisia,British Museum,London,England,36.401208,9.9031319,Archaeological Excavation,A history of the Vandals,90%,4th-6th Century,300 CE,599 CE,450 CE,Glass,Low,Vandal,Bowl,Yes,Useful,Vandal,"Clear glass, very simple design",Also found in Annaba grave 2,A History of the Vandals
Theoderic's Mint,Moneta Aurea,Ravenna,Italy,Null,Ravenna,Italy,Null,44.417645,12.203923,Primary Source,Ravenna in Late Antiquity,99%,6th Century,500 CE,599 CE,510 CE,"Brick, glass, marble, iron",Medium,Ostrogoth,Mint,No,Useful building made decorative,Ostrogoth,Supposedly Theoderic's Mint due to the buildings features being nearly identical with other mint buildings,No other public building from primary sources is located in this area,
Gilt Copper Buckle,Null,Annaba,Algeria,Africa,British Museum,London,England,36.401208,9.9031319,Archaeological Excavation,A history of the Vandals,90%,Late 5th Century,480 CE,499 CE,490 CE,"gilt, copper, garnet",High,Vandal,Belt or sword Buckle,Yes,Decorative,Vandal,feels Vandal due to its Clossoine technique used,Found in Annaba grave 2,A History of the Vandals
Aquaduct ,Aquaduct,Parma,Parma ,Italy,Null,Null,Null,44.80405,10.325195,Primary Source,Towards a History of Theoderic’s building program,80%,Ca 500 CE,498 CE,502 CE,501 CE,"Stone, water, concrete",Low,Ostrogoth,Aquaduct,No,Useful,Roman,"Said that it feels Roman as many of theoderic's building program seem to try to feel more Roman, ancient Roman",Exact location is due to proximity to water,Towards a History of Theoderic's building program
Public Baths,Null,Padua,Italy,Null,Null,Null,Null,45.398651,11.884845,Primary Source,Towards a History of Theoderic’s building program,85%,Early 6th Century,500 CE,520 CE,510 CE,"Marble, concrete, stones, water",High,Ostrogoth,Public Bath,No,Useful building made decorative,Roman,Feels Roman as it was built to continue Roman traditions and to have Theoderic feel like a true Roman Emperor,Location appears to be close to the center of the Ostrogothic town,Towards a History of Theoderic's building program
Renovations on the Curia of the Senate,Curia of the Senata,Curia of the Senate,Rome,Italy,Null,Null,Null,41.900866,12.476248,Primary Source,Towards a History of Theoderic’s building program,85%,ca 500 CE,499 CE,503 CE,501 CE,"Marble, precious stones and gems",High,Ostrogoth,Senate building,No,Useful building made decorative,Roman,Was not a completely new building but theoderic did significant repairs,Location seems to be in the center of the political part of Rome,Towards a History of Theoderic's building program
Silver Denarius,Denarius,Carthage,Tunisia,Africa,British Museum,London,England,36.857242,10.331457,Archaeological Excavation,A history of the Vandals,90%,484-496 CE,484 CE,496 CE,489 CE,Silver,Low,Vandal,Currency,Yes,Useful,Vandal,"Front: Bust of Gunthamund, back: denomination within a wreath",First coin thus far with just the denomination on the back, A History of the Vandals
Knife Sheath,Null,Lagucci Farm,San Marino,Domagnano,British Museum,London,England,43.703578,12.682113,Modern Discovery,"People and Identity in Ostrogothic Italy, 489-554",90%,Late 5th Century-Early 6th Century,480 CE,520 CE,490 CE,"Gold, wire, silver",High,Ostrogoth,Knife protector,Yes,"Useful in theory, made to be decorative",Ostrogoth,Very delicate technique used to create it,"Said to have been discovered originally in Hungary, but was discovered actually in a farmers house, believed to be from a grave site","People and Identity in Ostrogothic Italy, 489-554"
Bow Brooch,Null,Poitou-Charentes,France,Null,British Museum,London,England,46.132985,0.101493,Archaeological Excavation,"People and Identity in Ostrogothic Italy, 489-554",80%,Late 5th Century,480 CE,500 CE,480 CE,Copper Alloy,Medium,Ostrogoth,Bow brooch,Yes,Decorative,Ostrogoth,"The design is fairly intricate, but not as intricate as other Ostrogothic items, no cloissone, deep engravings",Similar to other Germanic items,"People and Identity in Ostrogothic Italy, 489-554"
Gold Solidus,Solidus,Lazio,Rome,Italy,British Museum,London,England,41.913496,12.460196,Archaeological Excavation,"People and Identity in Ostrogothic Italy, 489-554",90%,491-518 CE,491 CE,518 CE,516 CE,Gold,Medium,Ostrogoth,Currency,Yes,Useful,Ostrogoth,"Front: Bust of Anasticus I, Back: Winged Victory, Nike holding a wreath and a palm branch",Issued under Theoderic but bust is of Anastacius I,"People and Identity in Ostrogothic Italy, 489-554"
Gold Solidus,Solidus,Ticinum,Pavia,Italy,British Museum,London,England,45.190479,9.160796,Archaeological Excavation,"People and Identity in Ostrogothic Italy, 489-554",80%,541-552 CE,541 CE,552 CE,548 CE,Gold,Medium,Ostrogoth,Currency,Yes,Useful,Ostrogoth,Front: Frontal bust of Anastasius I Back:  Victory with long cross,"Under Anastius 1, Issued by maybe Totila","People and Identity in Ostrogothic Italy, 489-554"
