NameModern,NameAncient,LocationAncient1,LocationModern1,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Notes2,Notes3,Citation1,Citation2,DomeNumberOf,DomeDiameterMeters,BuildingType
Santa Costanza,,Rome,Rome,41.922614°,12.517375°,Extant,Wikipedia,100%,350,350,350,350,Built as a mausoleum for Constantine's daughter,,,"Krautheimer, 67",,1,11.5,Mausoleum
St. Gereon's Basilica,,Colonia Claudia Ara Agrippinensium,Cologne,50.943333°,6.945833°,Extant,Wikipedia,100%,4. Jh.,300,400,350,"Oval-shaped, diameter is of widest point (Rasch)",,,"Rasch, 126",,1,23.7,Domed Basilica
Baths of Bacucco,,Latium,Lazio,42.4597°,12.0652°,Ruins,Google Maps,100%,4. Jh.,300,400,350,,,,"Rasch, 130",,unsure,19.4,Baths
Trier Imperial Baths,,Augusta Treverorum,Trier,49.749729°,6.642259°,Ruins,Wikipedia,100%,4. Jh.,300,400,350,,,,"Rasch, 124",,unsure,16.45,Baths
Tempio della Tosse,,Tivoli,Tivoli,41.962892°,12.789358°,Extant,Wikipedia,100%,4. Jh.,300,400,350,,,,"Rasch, 128",,1,12.33,Temple
Mausoleum of Centocelle,,Constantí,Constantí,41.152111°,1.230472°,Extant,Wikipedia,100%,4. Jh.,300,400,350,Earliest example of Christian dome mosaics,,,"Rasch, 128",,1,10.7,Mausoleum
Heroon of Romulus,,Rome,Rome,41.8922°,12.4852°,Extant,Wikipedia,100%,4. Jh.,300,400,350,Now Santi Cosma e Damiano,,,"Rasch, 129",,1,14.7,Heroon
Praetorium at Cologne,,Colonia Claudia Ara Agrippinensium,Cologne,50.9393°,6.9584°,Archeological Site,Google Maps,100%,4. Jh.,300,400,350,,,,"Rasch, 128",,1,11.47,Praetorium
Chapel of Saint Aquilino,,Milan,Milan,45.458333°,9.181944°,Extant ,Wikipedia,100%,4. Jh.,390,402,400,Now within Basilica of San Lorenzo,,,"Rasch, 123",,1,12.9,Mausoleum
Baptistery of the Orthodox,,Ravenna,Ravenna,44.415556°,12.197222°,Extant,Wikipedia,100%,400-450,400,450,450,"Ceiling mosaic shows Christ's Baptism, apostles",,,"Krautheimer, 177",,1,11.28,Baptistery
Mausoleum of Galla Placidia,,Ravenna,Ravenna,44.421111°,12.196944°,Extant,Wikipedia,100%,middle of the fifth century,450,450,450,,,,"MacDougal, 28",,1,4.4,Mausoleum
Riva S. Vitale Baptistery,,Riva San Vitale,Riva San Vitale,45.904578°,8.970906°,Extant,Wikipedia,100%,500,500,500,500,,,,"Krautheimer, 177",,1,6.5,Baptistery
Mausoleum of Theoderic,,Ravenna,Ravenna,44.425°,12.209167°,Extant,Wikipedia,100%,526,526,526,526,,,,"Krautheimer, 272",,1,11,Mausoleum
Church of Sts Sergius and Bacchus,,Constantinople,Istanbul,41.002778°,28.971944°,Extant,Wikipedia,100%,524-7,527,527,527,Converted into mosque,,,"Mango, Cambridge Ancient History",,1,17,Domed Basilica
Hagia Polyeuktos,,Constantinople,Istanbul,41.014°,28.953°,Conjecture,Wikipedia,90%,524-527,524,527,527,Anticipates plan of H. Sophia,,,"Krautheimer, 219",,1,20,Domed Basilica
Hagia Irene,,Constantinople,Istanbul,41.009722°,28.981111°,Extant,Wikipedia,100%,"Begun 532, remodelled 730",532,730,532,"Burnt down during Nika riots, rebuilt 548",,,"Krautheimer, 250-252",,1,16,Domed Basilica
Hagia Sophia,,Constantinople,Istanbul,41.0085°,28.9799°,Extant,Wikipedia,100%,532-537,532,537,537,"Largest dome in Constantinople, pinnacle of Justinian churches",,,"Krautheimer, 163",,1,32.6,Domed Basilica
Palace of Lausos,,Constantinople,Istanbul,41.0075°,28.974444°,Conjecture,Wikipedia,90%,5th century,530,550,540,"Coordinates taken from Cistern of Philoxenos, the cistern above which the palace probably stood",,,"Krautheimer, 72",,1,29.6,Rotunda
Basilica of San Vitale,,Ravenna,Ravenna,44.42°,12.196°,Extant,Wikipedia,100%,6. Jh.,547,547,547,,,,"Rasch, 124",,1,15.7,Domed Basilica
Baptistery of Santa Maria Maggiore,,Nuocera Superiore,Nuocera Superiore,40.733333°,14.666667°,Extant,Wikipedia,100%,6. Jh.,500,600,550,,,,"Rasch, 129",,1,11.9,Baptistery
Church at Qasr-ibn-Wardan,,Qasr-ibn-Wardan,Qasr-ibn-Wardan,35.374319°,37.25069°,Ruins,Wikipedia,100%,564,564,564,564,Diameter estimated from archeological plan,,,"MacDougal, 36",,1,6.86,Domed Basilica
Basilica of St. John at Ephesus,,Ephesus,Selçuk,37.9525°,27.3678°,Archeological Site,Wikipedia,100%,6th Century,548,565,565,Dome added by Justinian,Dome diameter estimated from archeological plan,,"Mango, Cambridge Ancient History",,6,11,Domed Basilica
Church of H. David at Salonica,,Salonica,Thessaloniki,40.651417°,22.9675°,Extant,Wikipedia,100%,5th century (last 3rd),566,599,583,Diameter estimated from archeological plan,"Dome destroyed by earthquakes, not rebuilt",,"Krautheimer, 239",,1,9,Domed Basilica
Hagia Sophia of Salonica,,Salonica,Thessaloniki,40.640083°,22.962333°,Extant,Wikipedia,100%,Early eighth century,700,740,720,,,,"Krautheimer, 291",,1,10,Domed Basilica
