,,,,,,,,,,,,,,,,,,,,,,
nul,martyrium,,Calixtus Catacomb,"""Chapel of the Popes""",Rome,no,250,207,314,261,date is deduced from context,Krautheimer p. 12,,,,,,,,,,
Open worship space,church,festivals,triclia,S. Sebastiano,Rome,no,258,250,300,275,date is archaeological,Krautheimer p. 12,,,,,,,,,,
Basilica,church,funerary,S. Sebastiano,S. Sebastiano,"Rome, via Appia",no,325,300,330,315,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 15,,,,,,,,,,
Open worship space,church,festivals,triclia,Bonn cathedral,Bonn,no,260,240,280,260,date is a guess,Krautheimer p. 12,,,,,,,,,,
check,martyrium,,Anastasius Mausoleum,Anastasius Mausoleum,Salona,no,305,300,310,305,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 14,,,,,,,,,,
check,martyrium,,Martyrium of St. Praetextatus,catacomb of St. Praetextatus,Rome,no,325,310,330,320,relative dating based on style,Krautheimer p. 14,,,,,,,,,,
basilica,church,,S. Chrisogono,S. Chrisogono,Rome,no,325,300,330,315,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure based on brickwork. Date_high highest reasonable guess for construction",Krautheimer p. 15,,,,,,,,,,
house-church,church,,none,none,Aquileia cathedral,no,250,200,300,250,date is deduced from context,Krautheimer p. 23,,,,,,,,,,
double basilica,cathedral,,Aquileia cathedral,check,Aquileia cathedral,no,313,313,319,316,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 23,,,,,,,,,,
double basilica,cathedral,,Aquileia cathedral,check,Aquileia cathedral,no,400,390,410,400,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 22,"""","""",,,,,,,,
basilica,church,,Orleansville,none,"Orleansville, North Africa",,324,324,324,324,date from dedicatory inscription,Krautheimer p. 24,,,,,,,,,,
Colonnaded complex,cathedral,,Cathedral of Tyre,none,Sur,no,318,318,318,318,date from Eusebius's descriptoin,Krautheimer p. 24,,,,,,,,,,
basilica,church,,Basilica of Constantine,S. Giovani in Laterano,Rome,Constantine,313,313,320,317,date from Eusebius's descriptoin,Krautheimer p. 25,,,,,,,,,,
basilica,church,,Basilica of Trier,none,Trier,Constantine,330,325,340,333,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high given by Athanasius attending mass there in 340",Krautheimer p. 27,,,,,,,,,,
nul,Palace Church,,Basilica of the Holy Cross in Jerusalem,Basilica of the Holy Cross in Jerusalem,Rome,Helena,340,330,350,340,date very rough,Krautheimer p. 27,,,,,,,,,,
basilica,church,funerary,S. Lorenzo,S. Lorenzo,Rome via Tiburtina,check,320,310,337,324,date is constantinian,Krautheimer p. 31,,,,,,,,,,
basilical,,funerary,S. Agnese,S. Agnese,Rome Via Nomentana,check,340,330,350,340,date is post-constantinian,Krautheimer p. 31,,,,,,,,,,
nul,mausoleum,,Mausoleum of Constantia,S. Agnese,Rome Via Nomentana,Constantius,350,340,360,350,"date is rough, based on historical source",Krautheimer p. 42,,,,,,,,,,
basilica,church,funerary,SS. Marchelino e Pietro,SS. Marchelino e Pietro,"Rome, Via Labicana",check,320,310,337,324,date is late constantinian,Krautheimer p. 32,,,,,,,,,,
nul,Mausoleum,,Mausoleum of Helena,SS. Marchelino e Pietro,"Rome, Via Labicana",Constantine,330,330,330,330,date is exact based on historical death date,Krautheimer p. 41,,,,,,,,,,
basilica,martyrium,,Five Martyrs,check,Salon-Kapljuc,check,350,330,360,345,date is constantinian or just post,Krautheimer p. 32,,,,,,,,,,
basilica,church,funerary,check,check,Tipasa,local bishop,340,330,370,350,date is relative based on archaeology,Krautheimer p. 32,,,,,,,,,,
basilica,church,martyrium,Grotto of the Nativity,Church of the Nativity,Bethlehem,Helena and Constantine,330,327,337,332,"date is late Constantinian, Helena's pilgrimmage was in 326",Krautheimer p. 36,,,,,,,,,,
nul,church,martyrium,Ressurection church,Bethlehem church,,Helena and Constantine,330,327,337,332,"date is late Constantinian, Helena's pilgrimmage was in 326",Krautheimer p. 36,,,,,,,,,,
basilica,church,martyrium,Basilica on Golgotha,Holy Sepulchre,Jerusalem,Helena and Constantine,330,328,336,332,"date is late Constantinian, begun 328, consecrated 336",Krautheimer p. 36,,,,,,,x,x,Eusebius,mosaic of St Pudienza in Rome
round,church,martyrium,Mambre church,terebinth of abraham,Ramat-el-Khalil,Helena and Constantine,330,327,337,332,"date is late Constantinian, Helena's pilgrimmage was in 326",Krautheimer p. 36,,,,,,,,x,x,mosaic of St Pudienza in Rome
basilica,church,apostoleion,Church of the Apostles,Hagia Sophia,Constantinople,Constatnine,360,330,360,360,"begun under constantine, not finished until 360",Krautheimer p. 46,,,,,,,,x,"Eusebius, Life of Constantine, 4.58.",
basilica,church,,Hagia Sophia,Hagia Sophia,Constantinople,imperial,380,370,420,395,fourth century,Krautheimer p. 46,,,,,,,,x,,
domed,church,,Hagia Sophia,Hagia Sophia,Constantinople,Justinian,536,536,536,536,date from Eusebius's descriptoin,Krautheimer p. 46,,,,,,,x,x,Eusebius,x
cross-shaped,martyrium,,Well of Jacob,none,Sichem,no,380,350,450,400,date from archaeology,Krautheimer p. 50,,,,,,,,x,"Adamnanus, De locis sanctis libri tres, Arculf, p; 270",
Octagonal rotunda,,,Anastasis,check,Jerusalem,Constantinian,370,350,380,365,date from archaeology,Krautheimer p. 50,,,courtyard behind constantine's marytrium and basilica,,,,,x,,
Octagonal rotunda martyrium,martyrium,,Imbomon,none,"Mount of Olives, Jerusalem",Pomoenia,370,360,380,370,date from inscription,Krautheimer p. 50,,,,,,,,x,,
Octagonal rotunda,,,Church of Scythopolis,,Beisan,,400,350,450,400,date from context,Krautheimer p. 50,,,,,,,,x,,
Rotunda,,,Tomb of the Virgin,none,"Valley of Josaphat, Jerusalem",,400,350,450,400,date from context,Krautheimer p. 51,,,,,,,,x,,
Octagonal Rotunda,,,Church of the Virgin,ncheck,"Mount Garizim, Sichem",Emperor Zeno,480,474,491,483,date from reign of Zeno,Krautheimer p. 51,,,,,,,,x,,
Octagonal Rotunda,,,SS. Karpos and Polykarpos,check,Constantinople,unknown,400,380,430,405,date from masonary of church,Krautheimer p. 51,,,,,,,,x,,
Cross-shaped,martyrium,,Martyrium of St. Babylas,none,"Kaoussié, Antioch",civic,378,378,378,378,date from historical context,Krautheimer p. 51,,,,,,,,x,,
Octagonal,,,Golden Octagon,none,"Orontes Island, Antioch",Constantine,330,327,341,334,date from two years after coucil of Nicea,,,,,adjacent to imperial palace,possible the palace church,,,x,Eusebius and later,
Rotunda,,,H. Georgios,check,Salonica,Constantine,400,300,420,400,"date from masonary, two phases of construction",Krautheimer p. 55,,,,,,,,x,,
Cross-shaped,relic site,,Church of the Apostles,S. Navaro,Milan,St. Ambrose,382,382,400,391,date from St. Ambrose,Krautheimer p. 57,,,,,,,rebuilt,x,,
cross-shaped,church,martyrium?,S. Simpliciano,S. Simpliciano,Milan,Simplicianus,400,397,401,399,date from primary life dates of Simplicianus,Krautheimer p. 58,45°28′26″N 9°11′04″E,9°11′04″E,https://en.wikipedia.org/wiki/Basilica_of_San_Simpliciano,,perhaps initially a basilica virginum dedic to all the saints,,rebuilt,x,,
basilica and eight-sided baptistery,church,,S. Giovanni in Conca,S. Tecla,Milan,nul,375,360,450,405,"date from style, remodelled in 450",Krautheimer p. 58,,,,,,,under S. Tecla,1943 and 1961,,
"Quatrefoil, Octagon",,,S. Lorenzo,S. Lorenzo,Milan,Auxentius,370,350,400,375,date from style,Krautheimer p. 55,,,,,court church for Emperors?,,x,x,,
Cross-shaped,,,S. Croce,S. Croce,Ravenna,Gallia Placida,425,425,425,425,date from literary evidence,Krautheimer p. 58,,,,,,,yes but rebuilt,x,,
Cross-shaped,,,S. Stefano,check,Verona,nul,450,400,500,450,date from context,Krautheimer p. 58,,,,,,,,x,,
Cross-shaped,,,Princes of the Apostles,S. Abbondio,Como,nul,425,400,475,438,dated by style,Krautheimer p. 58,,,,,,,,x,,
start with trier,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Type,,,"Name, anglicized",Name of modern structure on top,"place, modern",Imperial patron?," Date, AD",Date_low,Date_high,Date_av (rounded to whole number),comments on dates,source,lat,long,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,To-do,,,,,,,,,,,,,,,,,,
,,,,"Split location into Street, City, Country",,,,,,,,,,,,,,,,,,
,,,,Replace checks with data,,,,,,,,,,,,,,,,,,
,,,,Add references to how do we know section,,,,,,,,,,,,,,,,,,
,,,,Regularize type vocab,,,,,,,,,,,,,,,,,,
